date,microsensor_pm25_3_C1,microsensor_pm25_4_C1,microsensor_pm25_5_C1,hourofday,monthofyear,season,reference_pm25,temperature,humidity
2023-02-12 17:00:00,25.234062497543,28.1916267276451,35.1414468117745,17,2,Winter,27.7,10.15,71.45
2023-02-12 18:00:00,31.5933076976582,32.5138917883924,41.701578938967,18,2,Winter,32.9,8.06,83.15
2023-02-12 19:00:00,35.9480580513347,35.9230381016135,45.3187613463658,19,2,Winter,37.7,6.88,90.53
2023-02-12 20:00:00,37.9322909836268,38.3184630170937,48.0459879744841,20,2,Winter,40.5,5.69,95.76
2023-02-12 21:00:00,39.0049862717332,39.2370629025578,49.6478322756243,21,2,Winter,41.9,4.92,99.69
2023-02-12 22:00:00,42.7340206065357,41.1261002324841,53.1238407455281,22,2,Winter,48.5,3.98,99.9
2023-02-12 23:00:00,38.5581891608149,38.4656146328237,48.9633592869674,23,2,Winter,41.8,3.29,99.9
2023-02-13 00:00:00,34.13968171356,36.4607733155213,46.768780398043,0,2,Winter,35.7,2.48,99.9
2023-02-13 01:00:00,31.7330345375769,34.8741559396313,44.2718198651988,1,2,Winter,33.4,2.07,99.9
2023-02-13 02:00:00,30.0248474692921,33.4494814543311,41.440280140273,2,2,Winter,30.9,1.66,99.9
2023-02-13 03:00:00,28.7808779631121,33.174733987324,43.7474850404108,3,2,Winter,29.6,1.34,99.9
2023-02-13 04:00:00,23.3050763144777,29.4903333571785,37.0058956711943,4,2,Winter,26.1,1.0,99.9
2023-02-13 05:00:00,20.0371374567277,28.3975027841045,36.8373079265008,5,2,Winter,25.6,0.72,99.9
2023-02-13 06:00:00,18.5670385727406,28.186305570974,35.1048973253898,6,2,Winter,22.9,0.48,99.9
2023-02-13 07:00:00,28.2517735211302,34.0476531457563,42.7731759256846,7,2,Winter,30.5,0.27,99.9
2023-02-13 08:00:00,37.2573142146297,38.2532393239293,48.79218446706,8,2,Winter,35.9,0.51,99.9
2023-02-13 09:00:00,43.7649997197105,42.5563599837784,54.0104491098897,9,2,Winter,43.4,1.71,99.9
2023-02-13 10:00:00,38.5689897343899,38.4209477448686,48.5850874873154,10,2,Winter,37.3,3.64,99.9
2023-02-13 11:00:00,27.1229878330995,27.4819185256508,35.1706759942491,11,2,Winter,29.2,11.44,86.92
2023-02-13 12:00:00,15.9146715350044,15.4150635535616,19.8958388510889,12,2,Winter,13.9,22.51,53.12
2023-02-13 13:00:00,17.5704165289872,15.6583368340553,20.0114802960323,13,2,Winter,13.4,25.81,47.44
2023-02-13 14:00:00,19.1426261168596,16.7551777419056,21.9098764120598,14,2,Winter,14.4,27.11,45.68
2023-02-13 15:00:00,19.3500533261296,19.6736669511073,25.7358590912269,15,2,Winter,17.3,20.13,53.31
2023-02-13 16:00:00,13.7548048656196,17.4610660180965,22.7508921964044,16,2,Winter,16.5,13.69,65.31
2023-02-13 17:00:00,13.1210461020239,17.5508819234518,24.2438051925102,17,2,Winter,16.5,11.87,71.92
2023-02-13 18:00:00,20.5985431809702,26.662758620755,32.8949366344466,18,2,Winter,22.1,9.81,80.81
2023-02-13 19:00:00,31.2477564505689,33.0198144685585,42.19918486736,19,2,Winter,33.3,8.68,88.12
2023-02-13 20:00:00,30.8208588660313,32.3516853201937,40.1200793699934,20,2,Winter,30.1,7.39,94.04
2023-02-13 21:00:00,36.5614663652764,36.933184741655,46.5785192660607,21,2,Winter,36.4,6.12,99.51
2023-02-13 22:00:00,32.8850659441812,35.0874026725188,44.8999977404319,22,2,Winter,34.9,5.31,99.9
2023-02-13 23:00:00,20.2847332781288,28.1126439671542,36.1969542232883,23,2,Winter,25.2,4.78,99.9
2023-02-14 00:00:00,21.8456862847224,28.9043997515073,35.8829192605123,0,2,Winter,25.8,3.9,99.9
2023-02-14 01:00:00,15.647872561915,25.8034066476987,31.6546068638491,1,2,Winter,22.8,3.52,99.9
2023-02-14 02:00:00,14.481914028445,25.6700619614338,31.0957642018712,2,2,Winter,21.5,2.82,99.9
2023-02-14 03:00:00,12.9510628357,25.4135331224127,31.7965637745338,3,2,Winter,22.2,2.5,99.9
2023-02-14 04:00:00,9.40958077713235,23.3229032901326,26.8525572803402,4,2,Winter,18.0,2.1,99.9
2023-02-14 05:00:00,6.52536949319441,20.9592634054242,24.0946857262532,5,2,Winter,16.5,1.66,99.9
2023-02-14 06:00:00,8.40794967500077,23.6592800003213,28.399969220094,6,2,Winter,17.8,1.33,99.9
2023-02-14 07:00:00,14.3784896850007,28.0102959604549,33.2211661354912,7,2,Winter,21.6,1.08,99.9
2023-02-14 08:00:00,28.5877363601047,34.2648771229644,41.6292110820124,8,2,Winter,30.2,1.31,99.9
2023-02-14 09:00:00,36.8400367057993,38.495992387063,48.4810744475672,9,2,Winter,35.9,2.74,99.9
2023-02-14 10:00:00,40.1705949104467,40.0232445643748,49.1937485819901,10,2,Winter,39.6,4.65,99.9
2023-02-14 11:00:00,23.8435480553127,25.5078342994698,32.600183264823,11,2,Winter,24.9,13.33,84.33
2023-02-14 12:00:00,18.7781056625035,19.1254186584375,24.6822815143218,12,2,Winter,19.0,22.65,56.1
2023-02-14 13:00:00,12.781314466873,13.5671754557054,16.2700090524492,13,2,Winter,10.5,26.1,48.0
2023-02-14 14:00:00,15.4213045143826,15.307290735455,19.4008693919143,14,2,Winter,12.4,27.56,46.15
2023-02-14 15:00:00,16.081870740258,17.6139810607899,22.3245736044237,15,2,Winter,16.3,20.65,54.69
2023-02-14 16:00:00,12.5350537005392,17.686388318034,23.5318330840394,16,2,Winter,16.9,14.53,67.06
2023-02-14 17:00:00,11.9145243099592,17.0814258119255,23.6165408255979,17,2,Winter,16.1,12.93,73.22
2023-02-14 18:00:00,16.9485185147418,22.0870351660467,28.7023847586695,18,2,Winter,20.1,10.76,83.48
2023-02-14 19:00:00,19.5149622335651,26.074633271312,32.9727302951228,19,2,Winter,23.4,9.19,92.99
2023-02-14 20:00:00,24.7577664994555,28.9469364938939,35.5620191998725,20,2,Winter,25.0,8.14,98.43
2023-02-14 21:00:00,31.443507531859,32.4772368655121,40.9526390040326,21,2,Winter,30.0,7.02,99.9
2023-02-14 22:00:00,30.1576342772079,33.5696708827927,42.0254485617374,22,2,Winter,31.3,5.97,99.9
2023-02-14 23:00:00,25.3975706739189,31.1281955981616,38.0343665078883,23,2,Winter,27.4,5.43,99.9
